dataset,n_sequences,uniqueness,apjd,mpd,jsd_3mer,jsd_gc,jsd_entropy
eds_pretrain_nofilter,250000,100.0,0.714275506437749,0.6911355575294541,0.014769937671485258,0.023869250733101713,0.024530582457825113
eds_ft_nofilter,250000,100.0,0.717977410954108,0.7154694355948203,0.0041738316358793685,0.013866500265971141,0.011833621703202048
mfe_pretrain_nofilter,250000,100.0,0.6488438002886548,0.51317035418282,0.012830188930530815,0.06279830825497831,0.06224857677591911
mfe_ft_nofilter,250000,100.0,0.7251677146672469,0.7248840978058548,0.007097681468330341,0.013278610677714034,0.016123507341910277
