dataset,n_sequences,uniqueness,apjd,mpd,jsd_3mer,jsd_gc,jsd_entropy
eds_pretrain_nofilter,151,100.0,0.7147682028995105,0.6949910695851311,0.016864459640591245,0.03884305788349833,0.01931253531991037
eds_ft_nofilter,767,100.0,0.710276050890533,0.6752318128400175,0.021888005192644097,0.020936034052161254,0.059401291031055875
mfe_pretrain_nofilter,69,100.0,0.6545470767959461,0.5514587627350226,0.012641860073374877,0.0916831372539633,0.07605323467118852
mfe_ft_nofilter,618,100.0,0.712282193597138,0.6614284346897991,0.03275486359958876,0.03991681465103657,0.10978267010030365
