dataset,n_sequences,uniqueness,apjd,mpd,jsd_3mer,jsd_gc,jsd_entropy
eds_pretrain_nofilter,128,100.0,0.7171467151123387,0.6975770072940207,0.017458740005541592,0.03472396468080612,0.017987445569734938
eds_ft_nofilter,568,100.0,0.7086661481399184,0.6779207566091645,0.019543937236496917,0.01957833478790252,0.046908990132956734
mfe_pretrain_nofilter,46,100.0,0.6522646492880835,0.5459012079398876,0.01381443331253853,0.09843694264620673,0.08134215537959846
mfe_ft_nofilter,421,100.0,0.7099900974595142,0.6645195993833842,0.028725211941427995,0.03831498896727882,0.09114638714096407
